Time,V1,V2,V3,V4,Amount,Class
91387,0.216936726,-0.455033174,-0.014280548,-0.257902165,2920.997424,0
1016,0.512423732,-0.412761613,0.201907442,-3.478169214,3684.112377,0
89789,0.543488691,0.595643652,-0.804736685,-0.268263062,2788.71133,0
55591,0.028099463,-1.991537787,-1.440652739,-0.517912256,2932.677173,0
89812,-1.197087063,0.426025867,0.269317654,0.892825364,2822.292713,0
23247,0.789672805,-0.541285442,1.813666576,-0.563258611,1893.86313,0
24300,0.431489463,0.776823004,0.404582895,2.539257791,1687.234169,0
74065,-1.096752299,-0.047643711,0.090072587,1.396793579,4498.236986,0
82798,-0.682301564,0.518694458,0.082730436,-0.389910391,3037.776111,0
9268,0.887511614,-0.391401812,-0.258417736,1.149623079,1221.765777,1
86807,0.605483131,0.438022597,1.18348232,0.525211713,2491.238489,0
12185,-0.720297993,1.663769789,-0.505442274,0.233465796,1651.742406,0
63704,-0.269933769,-0.739236431,-1.356785484,0.802652256,4668.459119,0
86779,-0.14346223,-0.107194475,-1.581653926,0.054070874,37.67181567,0
39099,0.617003776,-0.486217286,0.079009014,0.240351156,1126.663989,0
8571,1.248940699,1.592981794,1.060692463,0.823352516,1826.784098,0
38044,0.065649158,-0.433941599,0.237485252,2.052452742,2439.049004,0
51214,1.169207647,-0.732692201,-0.317368785,0.251194972,4254.087589,0
61228,0.873316969,-0.578276914,0.458441297,-0.453796665,439.4381227,0
48984,0.205650134,-0.135717382,0.186212344,-2.029230855,4029.324434,0
40774,-1.443483352,-0.793505018,0.826190474,1.961303472,278.2674468,0
